,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tool:,Eeschema 6.0.2+dfsg-1,,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,
Component Count:,95,,,,,,,,,,,,,
,,,,,,,,,,,,,,

,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Arrow Part Number,Arrow Price/Stock,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock
1,6,"C1, C5, C11, C17, C19, C21",100n,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,
2,3,"C2, C6, C12",10u,Device:CP,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,,,,,,,,,
3,4,"C3, C13, C14, C16",330u,Device:CP,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,,,,,,,,,
4,1,C4,0.22u,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,
5,2,"C7, C8",22p,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,
6,2,"C9, C24",1u,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,
7,1,C10,0.1u,Device:C,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,
8,4,"C15, C18, C20, C25",C,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,
9,2,"C22, C23",100n,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,,,,
10,3,"D1, D3, D5",D,Device:D_Schottky,Diode_SMD:D_SMA,~,,,,,,,,
11,2,"D2, D6",LED,Device:LED,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,~,,,,,,,,
12,1,D4,D,Device:D,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,
13,1,D8,1N457,Device:D,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,~,,,,,,,,
14,1,F1,2A,Device:Fuse,Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,~,,,,,,,,
15,2,"H1, H2",MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_ISO7380_Pad_TopOnly,~,,,,,,,,
16,1,J1,FTDI,Connector:Conn_01x06_Female,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,,,,,,,,
17,1,J2,Display,Connector:Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,,
18,2,"J3, J4",691214110002,PSU:691214110002,691214110002,https://eu.mouser.com/datasheet/2/445/691214110002-1719445.pdf,,,"3.5MM HORIZONTAL ENTRY MODULAR WITH RISING CAGE CLAMP - WR-TBL, 2 pos",8.7,Wurth Elektronik,691214110002,710-691214110002,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/691214110002?qs=7gQLVZk5cPmb9EqUyfv%252B2g%3D%3D
19,1,JP1,P_switch,Jumper:Jumper_2_Open,Connector_Wire:SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,~,,,,,,,,
20,2,"L1, L2",PM2110-101K-RC,PSU:PM2110-101K-RC,PM2110,http://uk.rs-online.com/web/p/products/7361040,PM2110-101K-RC,https://www.arrow.com/en/products/pm2110-101k-rc/bourns,"Bourns PM2110 Series Type 2110 Wire-wound SMD Inductor with a Iron Core, 100 uH +/-10% Wire-Wound 5.4A Idc",,Bourns,PM2110-101K-RC,542-PM2110-101K-RC,https://www.mouser.co.uk/ProductDetail/Bourns/PM2110-101K-RC?qs=jMTjsNgJ9v%2FkT97x6Gn%2Fng%3D%3D
21,1,Q1,2SC4213BTE85LF,PSU:2SC4213BTE85LF,SOT65P210X110-3N,http://toshiba.semicon-storage.com/info/docget.jsp?did=19305&prodName=2SC4213,,,Bipolar Transistors - BJT NPN 0.3A IC 20V Gen Purp Trans,1.1,Toshiba,2SC4213BTE85LF,757-2SC4213BTE85LF,https://www.mouser.co.uk/ProductDetail/Toshiba/2SC4213BTE85LF?qs=3kEcuH7qFhdqHZKOo23uyA%3D%3D
22,1,Q2,"SSM3J168F,LF","PSU:SSM3J168F,LF",SOT95P260X140-3N,https://toshiba.semicon-storage.com/info/docget.jsp?did=55835&prodName=SSM3J168F,"SSM3J168F,LF",https://www.arrow.com/en/products/ssm3j168flf/toshiba,MOSFET LowON Res MOSFET ID=--0.4A VDSS=-60V,1.4,Toshiba,"SSM3J168F,LF",757-SSM3J168FLF,https://www.mouser.co.uk/ProductDetail/Toshiba/SSM3J168FLF?qs=BZBei1rCqCDzdC8Hfjv95w%3D%3D
23,2,"R1, R15",10k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
24,2,"R2, R16",50k,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
25,3,"R3, R4, R24",10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
26,1,R5,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,
